stmt_id,true_ledger_id,category
S5000,L1000,exact_match
S5001,L1001,exact_match
S5002,L1002,exact_match
S5003,L1003,exact_match
S5004,L1004,exact_match
S5005,L1005,exact_match
S5006,L1006,exact_match
S5007,L1007,exact_match_diff_dateformat
S5008,L1008,exact_match_diff_dateformat
S5009,L1009,exact_match_diff_dateformat
S5010,L1010,exact_match_diff_dateformat
S5011,L1011,exact_match_diff_dateformat
S5012,L1012,exact_match_diff_dateformat
S5013,L1013,exact_match_diff_dateformat
S5014,L1014,typo_reference
S5015,L1015,typo_reference
S5016,L1016,typo_reference
S5017,L1017,typo_reference
S5018,L1018,typo_reference
S5019,L1019,typo_reference
S5020,L1020,typo_reference
S5021,L1021,reference_mismatch_amount_match
S5022,L1022,reference_mismatch_amount_match
S5023,L1023,reference_mismatch_amount_match
S5024,L1024,reference_mismatch_amount_match
S5025,L1025,reference_mismatch_amount_match
S5026,L1026,reference_mismatch_amount_match
S5027,L1027,reference_mismatch_amount_match
S5028,L1028,split_payment
S5029,L1028,split_payment
S5030,L1029,split_payment
S5031,L1029,split_payment
S5032,L1030,split_payment
S5033,L1030,split_payment
S5034,L1031,split_payment
S5035,L1031,split_payment
S5036,L1032,split_payment
S5037,L1032,split_payment
S5038,L1033,split_payment
S5039,L1033,split_payment
S5040,L1034,split_payment
S5041,L1034,split_payment
S5042,L1035,date_lag
S5043,L1036,date_lag
S5044,L1037,date_lag
S5045,L1038,date_lag
S5046,L1039,date_lag
S5047,L1040,date_lag
S5048,L1041,date_lag
S5049,L1042,amount_discrepancy_fee
S5050,L1043,amount_discrepancy_fee
S5051,L1044,amount_discrepancy_fee
S5052,L1045,amount_discrepancy_fee
S5053,L1046,amount_discrepancy_fee
S5054,L1047,amount_discrepancy_fee
S5055,L1048,amount_discrepancy_fee
S5056,,unmatched_orphan
S5057,,unmatched_orphan
S5058,,unmatched_orphan
S5059,,unmatched_orphan
S5060,,unmatched_orphan
S5061,,unmatched_orphan
S5062,,unmatched_orphan
S5063,,unmatched_orphan
