ledger_id,date,amount,ref,payer
L1000,2023-02-27,73.76,INV-46048,Customer_32
L1001,2023-04-25,182.56,INV-23434,Customer_87
L1002,2023-10-07,132.59,INV-65302,Customer_5
L1003,2023-01-16,139.01,INV-40495,Customer_65
L1004,2023-01-14,583.18,INV-95181,Customer_90
L1005,2023-10-07,448.54,INV-68878,Customer_76
L1006,2023-05-23,818.96,INV-10851,Customer_98
L1007,2023-03-23,713.23,INV-54597,Customer_36
L1008,2023-04-21,959.35,INV-54118,Customer_14
L1009,2023-07-14,141.88,INV-55082,Customer_78
L1010,2023-01-23,743.25,INV-80284,Customer_16
L1011,2023-02-10,574.44,INV-92397,Customer_80
L1012,2023-10-23,232.67,INV-19116,Customer_6
L1013,2023-05-29,985.96,INV-40512,Customer_13
L1014,2023-05-23,480.74,INV-57819,Customer_21
L1015,2023-07-01,249.03,INV-44993,Customer_90
L1016,2023-03-29,557.43,INV-42087,Customer_21
L1017,2023-07-14,306.45,INV-93886,Customer_89
L1018,2023-06-16,850.71,INV-17331,Customer_30
L1019,2023-06-11,431.11,INV-18675,Customer_28
L1020,2023-04-19,672.67,INV-61856,Customer_83
L1021,2023-03-15,301.64,INV-42325,Customer_96
L1022,2023-10-15,562.03,INV-86622,Customer_55
L1023,2023-10-26,429.43,INV-38746,Customer_18
L1024,2023-09-18,518.84,INV-16175,Customer_15
L1025,2023-03-20,646.07,INV-99192,Customer_55
L1026,2023-02-02,415.53,INV-88104,Customer_60
L1027,2023-09-28,288.84,INV-82512,Customer_2
L1028,2023-02-28,697.62,INV-80381,Customer_97
L1029,2023-06-24,155.97,INV-66985,Customer_21
L1030,2023-05-15,973.29,INV-33416,Customer_65
L1031,2023-06-02,849.59,INV-76540,Customer_78
L1032,2023-07-11,774.39,INV-80697,Customer_100
L1033,2023-01-01,619.0,INV-74042,Customer_3
L1034,2023-07-05,884.79,INV-50306,Customer_31
L1035,2023-10-18,949.6,INV-21226,Customer_94
L1036,2023-02-05,979.09,INV-79822,Customer_99
L1037,2023-03-07,676.76,INV-82063,Customer_22
L1038,2023-09-28,878.81,INV-65461,Customer_28
L1039,2023-04-13,727.3,INV-62296,Customer_86
L1040,2023-08-13,904.63,INV-69177,Customer_16
L1041,2023-04-26,110.82,INV-12757,Customer_76
L1042,2023-04-28,609.02,INV-10942,Customer_10
L1043,2023-01-31,267.49,INV-14117,Customer_43
L1044,2023-05-02,314.55,INV-73624,Customer_28
L1045,2023-10-20,597.4,INV-41850,Customer_61
L1046,2023-04-08,139.61,INV-96374,Customer_56
L1047,2023-07-30,493.67,INV-17100,Customer_87
L1048,2023-02-20,107.58,INV-54473,Customer_14
L1049,2023-03-26,410.02,INV-61173,Customer_34
L1050,2023-08-21,320.99,INV-82845,Customer_85
L1051,2023-09-07,197.06,INV-48890,Customer_28
L1052,2023-01-30,600.22,INV-81066,Customer_8
L1053,2023-06-10,104.31,INV-86569,Customer_62
L1054,2023-09-15,923.42,INV-79615,Customer_21
L1055,2023-01-30,962.74,INV-20500,Customer_24
L1056,2023-02-05,615.28,INV-98501,Customer_31
