stmt_id,date,amount,narration
S5000,2023-02-27,73.76,Transfer from Customer_32 Ref INV-46048
S5001,2023-04-25,182.56,Transfer from Customer_87 Ref INV-23434
S5002,2023-10-07,132.59,Transfer from Customer_5 Ref INV-65302
S5003,2023-01-16,139.01,Transfer from Customer_65 Ref INV-40495
S5004,2023-01-14,583.18,Transfer from Customer_90 Ref INV-95181
S5005,2023-10-07,448.54,Transfer from Customer_76 Ref INV-68878
S5006,2023-05-23,818.96,Transfer from Customer_98 Ref INV-10851
S5007,23/03/2023,713.23,Payment Ref: INV-54597
S5008,21/04/2023,959.35,Payment Ref: INV-54118
S5009,14-Jul-2023,141.88,Payment Ref: INV-55082
S5010,23-Jan-2023,743.25,Payment Ref: INV-80284
S5011,10-Feb-2023,574.44,Payment Ref: INV-92397
S5012,23/10/2023,232.67,Payment Ref: INV-19116
S5013,29-May-2023,985.96,Payment Ref: INV-40512
S5014,2023-05-23,480.74,Payment Ref: INV-58719
S5015,2023-07-01,249.03,Payment Ref: IVN-44993
S5016,2023-03-29,557.43,Payment Ref: INV-42078
S5017,2023-07-14,306.45,Payment Ref: INV9-3886
S5018,2023-06-16,850.71,Payment Ref: NIV-17331
S5019,2023-06-11,431.11,Payment Ref: INV-16875
S5020,2023-04-19,672.67,Payment Ref: INV-61865
S5021,2023-03-15,301.64,Generic Payment - No Ref Provided
S5022,2023-10-15,562.03,Generic Payment - No Ref Provided
S5023,2023-10-26,429.43,Generic Payment - No Ref Provided
S5024,2023-09-18,518.84,Generic Payment - No Ref Provided
S5025,2023-03-20,646.07,Generic Payment - No Ref Provided
S5026,2023-02-02,415.53,Generic Payment - No Ref Provided
S5027,2023-09-28,288.84,Generic Payment - No Ref Provided
S5028,2023-02-28,283.74,Split 1/2 for INV-80381
S5029,2023-02-28,413.88,Split 2/2 for INV-80381
S5030,2023-06-24,75.1,Split 1/2 for INV-66985
S5031,2023-06-24,80.87,Split 2/2 for INV-66985
S5032,2023-05-15,647.29,Split 1/2 for INV-33416
S5033,2023-05-15,326.0,Split 2/2 for INV-33416
S5034,2023-06-02,322.47,Split 1/2 for INV-76540
S5035,2023-06-02,527.12,Split 2/2 for INV-76540
S5036,2023-07-11,518.05,Split 1/2 for INV-80697
S5037,2023-07-11,256.34,Split 2/2 for INV-80697
S5038,2023-01-01,213.4,Split 1/2 for INV-74042
S5039,2023-01-01,405.6,Split 2/2 for INV-74042
S5040,2023-07-05,285.94,Split 1/2 for INV-50306
S5041,2023-07-05,598.85,Split 2/2 for INV-50306
S5042,2023-10-22,949.6,Ref INV-21226 processed late
S5043,2023-02-07,979.09,Ref INV-79822 processed late
S5044,2023-03-10,676.76,Ref INV-82063 processed late
S5045,2023-10-03,878.81,Ref INV-65461 processed late
S5046,2023-04-16,727.3,Ref INV-62296 processed late
S5047,2023-08-15,904.63,Ref INV-69177 processed late
S5048,2023-05-01,110.82,Ref INV-12757 processed late
S5049,2023-04-28,605.19,Payment INV-10942 minus processing fee
S5050,2023-01-31,266.21,Payment INV-14117 minus processing fee
S5051,2023-05-02,311.39,Payment INV-73624 minus processing fee
S5052,2023-10-20,593.17,Payment INV-41850 minus processing fee
S5053,2023-04-08,137.19,Payment INV-96374 minus processing fee
S5054,2023-07-30,490.06,Payment INV-17100 minus processing fee
S5055,2023-02-20,105.59,Payment INV-54473 minus processing fee
S5056,2023-04-08,272.78,POS PUR 3296 UNKNOWN
S5057,2023-08-05,99.91,POS PUR 8579 UNKNOWN
S5058,2023-05-08,438.5,POS PUR 2235 UNKNOWN
S5059,2023-08-15,405.93,POS PUR 2604 UNKNOWN
S5060,2023-01-26,329.55,POS PUR 9856 UNKNOWN
S5061,2023-01-08,484.81,POS PUR 4872 UNKNOWN
S5062,2023-03-27,209.14,POS PUR 8886 UNKNOWN
S5063,2023-04-20,433.68,POS PUR 1960 UNKNOWN
